country;total;gold;silver;bronze
Spain;18;5;4;9
Hungary;19;6;7;6
Sweden;11;4;4;3
United States;126;40;44;42
Israel;7;1;5;1
EOR;1;0;0;1
Fiji;1;0;1;0
Belgium;10;3;1;6
Korea;32;13;9;10
Tunisia;3;1;1;1
Netherlands;34;15;7;12
Denmark;9;2;2;5
Puerto Rico;2;0;0;2
Kosovo;2;0;1;1
Uganda;2;1;1;0
Mongolia;1;0;1;0
Brazil;20;3;7;10
Türkiye;8;0;3;5
Italy;40;12;13;15
Jamaica;6;1;3;2
France;64;16;26;22
Albania;2;0;0;2
Egypt;3;1;1;1
Ecuador;5;1;2;2
Pakistan;1;1;0;0
Ethiopia;4;1;3;0
Ukraine;12;3;5;4
Singapore;1;0;0;1
Algeria;3;2;0;1
Bahrain;4;2;1;1
Kyrgyzstan;6;0;2;4
Peru;1;0;0;1
Panama;1;0;1;0
New Zealand;20;10;7;3
Chile;2;1;1;0
Zambia;1;0;0;1
Republic of Moldova;4;0;1;3
China;91;40;27;24
DPR Korea;6;0;2;4
Cabo Verde;1;0;0;1
Cuba;9;2;1;6
Guatemala;2;1;0;1
Slovenia;3;2;1;0
Tajikistan;3;0;0;3
Cyprus;1;0;1;0
Australia;53;18;19;16
South Africa;6;1;3;2
Austria;5;2;0;3
Dominican Republic;3;1;0;2
Hong Kong, China;4;2;0;2
AIN;5;1;3;1
Switzerland;8;1;2;5
Botswana;2;1;1;0
Saint Lucia;2;1;1;0
Azerbaijan;7;2;2;3
Czechia;5;3;0;2
Poland;10;1;4;5
Jordan;1;0;1;0
Canada;27;9;7;11
Côte d'Ivoire;1;0;0;1
Georgia;7;3;3;1
Norway;8;4;1;3
Germany;33;12;13;8
Kenya;11;4;2;5
Portugal;4;1;2;1
Argentina;3;1;1;1
Romania;9;3;4;2
Greece;8;1;1;6
Indonesia;3;2;0;1
Armenia;4;0;3;1
Morocco;2;1;0;1
Uzbekistan;13;8;2;3
Mexico;5;0;3;2
Croatia;7;2;2;3
IR Iran;12;3;6;3
India;6;0;1;5
Malaysia;2;0;0;2
Kazakhstan;7;1;3;3
Qatar;1;0;0;1
Ireland;7;4;0;3
Serbia;5;3;1;1
Grenada;2;0;0;2
Japan;45;20;12;13
Slovakia;1;0;0;1
Chinese Taipei;7;2;0;5
Lithuania;4;0;2;2
Thailand;6;1;3;2
Philippines;4;2;0;2
Dominica;1;1;0;0
Great Britain;65;14;22;29
Bulgaria;7;3;1;3
Colombia;4;0;3;1
